train_loss,train_acc,val_loss,val_acc,lr
0.7141471708714281,0.5598920490426446,0.6944831033959923,0.5477178428182958,0.001
0.6824566576152712,0.6173967200244194,0.6703480024555412,0.6124481332747274,0.001
0.6704907897401208,0.6232094665347775,0.6298768959104768,0.6854771789178808,0.001
0.6663726446463751,0.6273614283243552,0.6386570033690742,0.6647302909016115,0.001
0.6513477659136372,0.6474984430885671,0.6176470382084985,0.6979253112775161,0.001
0.6411836514439304,0.6558023666924699,0.6354930956334,0.7153526974416867,0.001
0.6277904029033083,0.6732406062359183,0.6104920017274089,0.7336099588524752,0.001
0.6186990627664388,0.6796761470165692,0.5944850862768181,0.7136929465527356,0.001
0.6144035122244591,0.6881876687353172,0.5935109932392959,0.6730290460883335,0.001
0.6082090813514229,0.6906788458164881,0.6038760367765467,0.7360995854084917,0.001
0.6074231809319514,0.6886028648907648,0.5785293084951851,0.7369294609271639,0.001
0.5960848835931667,0.7043803197753016,0.5911326267412589,0.7510373446951268,0.001
0.5916264508803504,0.7077018892292366,0.5780852207009723,0.7211618260229277,0.001
0.5775429371087809,0.7172514013366034,0.5969070524595586,0.6174273863867605,0.001
0.5736839530723877,0.7207805688806359,0.5675787028435355,0.6829875523123998,0.001
0.5689704818598879,0.7236869421667496,0.5134080837871029,0.7775933613421017,0.001
0.5573476234523246,0.7351048370726208,0.8206432683339258,0.728630705641513,0.001
0.537959651442665,0.7544114594888163,0.539924638597797,0.7211618261218565,0.001
0.5298036237104022,0.7523354785507191,0.4820644721945292,0.7751037348355495,0.001
0.5235788885527981,0.7521278804853692,0.5129361435832819,0.7933609959495512,0.001
0.5177458736048661,0.7614697945150123,0.5053619004384116,0.7560165978566245,0.001
0.5029071376535045,0.7697737181312889,0.4711637992581886,0.7468879672006947,0.001
0.4922745382733827,0.776624455154004,0.6596113727300493,0.7609958509191933,0.001
0.4742541756834359,0.7824372015901193,0.6081081971093332,0.775933610156364,0.001
0.44293041809084804,0.8031970106864931,0.5608523879803068,0.6838174277816076,0.001
0.45337134380669225,0.7940626946603309,0.457294031693233,0.8323651453766091,0.001
0.4191703794468778,0.8200124558977797,0.4315006089408368,0.8190871371273183,0.001
0.4068060363628371,0.828316379538804,0.5043819537795926,0.8356846474512979,0.001
0.3862911706424141,0.8326759394061053,0.3813279079698428,0.8522821579731351,0.001
0.3946200967800179,0.8312227528372914,0.37699441499235226,0.8165975108186239,0.001
